Year,State,Commodity,Criteria,Value
2015,ALABAMA,CORN,ACRES PLANTED,260000
2014,ALABAMA,CORN,ACRES PLANTED,300000
2013,ALABAMA,CORN,ACRES PLANTED,320000
2012,ALABAMA,CORN,ACRES PLANTED,310000
2011,ALABAMA,CORN,ACRES PLANTED,270000
2010,ALABAMA,CORN,ACRES PLANTED,270000
2009,ALABAMA,CORN,ACRES PLANTED,280000
2008,ALABAMA,CORN,ACRES PLANTED,260000
2007,ALABAMA,CORN,ACRES PLANTED,340000
2006,ALABAMA,CORN,ACRES PLANTED,200000
2005,ALABAMA,CORN,ACRES PLANTED,220000
2004,ALABAMA,CORN,ACRES PLANTED,220000
2003,ALABAMA,CORN,ACRES PLANTED,220000
2002,ALABAMA,CORN,ACRES PLANTED,200000
2001,ALABAMA,CORN,ACRES PLANTED,180000
2000,ALABAMA,CORN,ACRES PLANTED,230000
2015,ARIZONA,CORN,ACRES PLANTED,70000
2014,ARIZONA,CORN,ACRES PLANTED,75000
2013,ARIZONA,CORN,ACRES PLANTED,85000
2012,ARIZONA,CORN,ACRES PLANTED,70000
2011,ARIZONA,CORN,ACRES PLANTED,60000
2010,ARIZONA,CORN,ACRES PLANTED,45000
2009,ARIZONA,CORN,ACRES PLANTED,50000
2008,ARIZONA,CORN,ACRES PLANTED,50000
2007,ARIZONA,CORN,ACRES PLANTED,55000
2006,ARIZONA,CORN,ACRES PLANTED,50000
2005,ARIZONA,CORN,ACRES PLANTED,50000
2004,ARIZONA,CORN,ACRES PLANTED,53000
2003,ARIZONA,CORN,ACRES PLANTED,47000
2002,ARIZONA,CORN,ACRES PLANTED,60000
2001,ARIZONA,CORN,ACRES PLANTED,55000
2000,ARIZONA,CORN,ACRES PLANTED,56000
2015,ARKANSAS,CORN,ACRES PLANTED,460000
2014,ARKANSAS,CORN,ACRES PLANTED,540000
2013,ARKANSAS,CORN,ACRES PLANTED,880000
2012,ARKANSAS,CORN,ACRES PLANTED,710000
2011,ARKANSAS,CORN,ACRES PLANTED,560000
2010,ARKANSAS,CORN,ACRES PLANTED,390000
2009,ARKANSAS,CORN,ACRES PLANTED,430000
2008,ARKANSAS,CORN,ACRES PLANTED,440000
2007,ARKANSAS,CORN,ACRES PLANTED,610000
2006,ARKANSAS,CORN,ACRES PLANTED,190000
2005,ARKANSAS,CORN,ACRES PLANTED,240000
2004,ARKANSAS,CORN,ACRES PLANTED,320000
2003,ARKANSAS,CORN,ACRES PLANTED,365000
2002,ARKANSAS,CORN,ACRES PLANTED,265000
2001,ARKANSAS,CORN,ACRES PLANTED,190000
2000,ARKANSAS,CORN,ACRES PLANTED,180000
2015,CALIFORNIA,CORN,ACRES PLANTED,430000
2014,CALIFORNIA,CORN,ACRES PLANTED,520000
2013,CALIFORNIA,CORN,ACRES PLANTED,600000
2012,CALIFORNIA,CORN,ACRES PLANTED,640000
2011,CALIFORNIA,CORN,ACRES PLANTED,630000
2010,CALIFORNIA,CORN,ACRES PLANTED,610000
2009,CALIFORNIA,CORN,ACRES PLANTED,550000
2008,CALIFORNIA,CORN,ACRES PLANTED,670000
2007,CALIFORNIA,CORN,ACRES PLANTED,650000
2006,CALIFORNIA,CORN,ACRES PLANTED,520000
2005,CALIFORNIA,CORN,ACRES PLANTED,560000
2004,CALIFORNIA,CORN,ACRES PLANTED,540000
2003,CALIFORNIA,CORN,ACRES PLANTED,530000
2002,CALIFORNIA,CORN,ACRES PLANTED,545000
2001,CALIFORNIA,CORN,ACRES PLANTED,480000
2000,CALIFORNIA,CORN,ACRES PLANTED,540000
2015,COLORADO,CORN,ACRES PLANTED,1100000
2014,COLORADO,CORN,ACRES PLANTED,1150000
2013,COLORADO,CORN,ACRES PLANTED,1220000
2012,COLORADO,CORN,ACRES PLANTED,1420000
2011,COLORADO,CORN,ACRES PLANTED,1500000
2010,COLORADO,CORN,ACRES PLANTED,1330000
2009,COLORADO,CORN,ACRES PLANTED,1100000
2008,COLORADO,CORN,ACRES PLANTED,1250000
2007,COLORADO,CORN,ACRES PLANTED,1200000
2006,COLORADO,CORN,ACRES PLANTED,1000000
2005,COLORADO,CORN,ACRES PLANTED,1100000
2004,COLORADO,CORN,ACRES PLANTED,1200000
2003,COLORADO,CORN,ACRES PLANTED,1080000
2002,COLORADO,CORN,ACRES PLANTED,1200000
2001,COLORADO,CORN,ACRES PLANTED,1220000
2000,COLORADO,CORN,ACRES PLANTED,1350000
2015,CONNECTICUT,CORN,ACRES PLANTED,26000
2014,CONNECTICUT,CORN,ACRES PLANTED,26000
2013,CONNECTICUT,CORN,ACRES PLANTED,27000
2012,CONNECTICUT,CORN,ACRES PLANTED,27000
2011,CONNECTICUT,CORN,ACRES PLANTED,27000
2010,CONNECTICUT,CORN,ACRES PLANTED,26000
2009,CONNECTICUT,CORN,ACRES PLANTED,26000
2008,CONNECTICUT,CORN,ACRES PLANTED,27000
2007,CONNECTICUT,CORN,ACRES PLANTED,26000
2006,CONNECTICUT,CORN,ACRES PLANTED,27000
2005,CONNECTICUT,CORN,ACRES PLANTED,28000
2004,CONNECTICUT,CORN,ACRES PLANTED,30000
2003,CONNECTICUT,CORN,ACRES PLANTED,30000
2002,CONNECTICUT,CORN,ACRES PLANTED,32000
2001,CONNECTICUT,CORN,ACRES PLANTED,32000
2000,CONNECTICUT,CORN,ACRES PLANTED,36000
2015,DELAWARE,CORN,ACRES PLANTED,170000
2014,DELAWARE,CORN,ACRES PLANTED,175000
2013,DELAWARE,CORN,ACRES PLANTED,180000
2012,DELAWARE,CORN,ACRES PLANTED,185000
2011,DELAWARE,CORN,ACRES PLANTED,190000
2010,DELAWARE,CORN,ACRES PLANTED,180000
2009,DELAWARE,CORN,ACRES PLANTED,170000
2008,DELAWARE,CORN,ACRES PLANTED,160000
2007,DELAWARE,CORN,ACRES PLANTED,195000
2006,DELAWARE,CORN,ACRES PLANTED,170000
2005,DELAWARE,CORN,ACRES PLANTED,160000
2004,DELAWARE,CORN,ACRES PLANTED,160000
2003,DELAWARE,CORN,ACRES PLANTED,170000
2002,DELAWARE,CORN,ACRES PLANTED,180000
2001,DELAWARE,CORN,ACRES PLANTED,170000
2000,DELAWARE,CORN,ACRES PLANTED,165000
2015,FLORIDA,CORN,ACRES PLANTED,80000
2014,FLORIDA,CORN,ACRES PLANTED,75000
2013,FLORIDA,CORN,ACRES PLANTED,115000
2012,FLORIDA,CORN,ACRES PLANTED,75000
2011,FLORIDA,CORN,ACRES PLANTED,70000
2010,FLORIDA,CORN,ACRES PLANTED,60000
2009,FLORIDA,CORN,ACRES PLANTED,70000
2008,FLORIDA,CORN,ACRES PLANTED,70000
2007,FLORIDA,CORN,ACRES PLANTED,70000
2006,FLORIDA,CORN,ACRES PLANTED,60000
2005,FLORIDA,CORN,ACRES PLANTED,65000
2004,FLORIDA,CORN,ACRES PLANTED,70000
2003,FLORIDA,CORN,ACRES PLANTED,75000
2002,FLORIDA,CORN,ACRES PLANTED,75000
2001,FLORIDA,CORN,ACRES PLANTED,65000
2000,FLORIDA,CORN,ACRES PLANTED,85000
2015,GEORGIA,CORN,ACRES PLANTED,330000
2014,GEORGIA,CORN,ACRES PLANTED,350000
