1,2015,ALABAMA,CORN,ACRES PLANTED,260000
2,2014,ALABAMA,CORN,ACRES PLANTED,300000
3,2013,ALABAMA,CORN,ACRES PLANTED,320000
4,2012,ALABAMA,CORN,ACRES PLANTED,310000
5,2011,ALABAMA,CORN,ACRES PLANTED,270000
6,2010,ALABAMA,CORN,ACRES PLANTED,270000
7,2009,ALABAMA,CORN,ACRES PLANTED,280000
8,2008,ALABAMA,CORN,ACRES PLANTED,260000
9,2007,ALABAMA,CORN,ACRES PLANTED,340000
10,2006,ALABAMA,CORN,ACRES PLANTED,200000
11,2005,ALABAMA,CORN,ACRES PLANTED,220000
12,2004,ALABAMA,CORN,ACRES PLANTED,220000
13,2003,ALABAMA,CORN,ACRES PLANTED,220000
14,2002,ALABAMA,CORN,ACRES PLANTED,200000
15,2001,ALABAMA,CORN,ACRES PLANTED,180000
16,2000,ALABAMA,CORN,ACRES PLANTED,230000
17,2015,ARIZONA,CORN,ACRES PLANTED,70000
18,2014,ARIZONA,CORN,ACRES PLANTED,75000
19,2013,ARIZONA,CORN,ACRES PLANTED,85000
20,2012,ARIZONA,CORN,ACRES PLANTED,70000
21,2011,ARIZONA,CORN,ACRES PLANTED,60000
22,2010,ARIZONA,CORN,ACRES PLANTED,45000
23,2009,ARIZONA,CORN,ACRES PLANTED,50000
24,2008,ARIZONA,CORN,ACRES PLANTED,50000
25,2007,ARIZONA,CORN,ACRES PLANTED,55000
26,2006,ARIZONA,CORN,ACRES PLANTED,50000
27,2005,ARIZONA,CORN,ACRES PLANTED,50000
28,2004,ARIZONA,CORN,ACRES PLANTED,53000
29,2003,ARIZONA,CORN,ACRES PLANTED,47000
30,2002,ARIZONA,CORN,ACRES PLANTED,60000
31,2001,ARIZONA,CORN,ACRES PLANTED,55000
32,2000,ARIZONA,CORN,ACRES PLANTED,56000
33,2015,ARKANSAS,CORN,ACRES PLANTED,460000
34,2014,ARKANSAS,CORN,ACRES PLANTED,540000
35,2013,ARKANSAS,CORN,ACRES PLANTED,880000
36,2012,ARKANSAS,CORN,ACRES PLANTED,710000
37,2011,ARKANSAS,CORN,ACRES PLANTED,560000
38,2010,ARKANSAS,CORN,ACRES PLANTED,390000
39,2009,ARKANSAS,CORN,ACRES PLANTED,430000
40,2008,ARKANSAS,CORN,ACRES PLANTED,440000
41,2007,ARKANSAS,CORN,ACRES PLANTED,610000
42,2006,ARKANSAS,CORN,ACRES PLANTED,190000
43,2005,ARKANSAS,CORN,ACRES PLANTED,240000
44,2004,ARKANSAS,CORN,ACRES PLANTED,320000
45,2003,ARKANSAS,CORN,ACRES PLANTED,365000
46,2002,ARKANSAS,CORN,ACRES PLANTED,265000
47,2001,ARKANSAS,CORN,ACRES PLANTED,190000
48,2000,ARKANSAS,CORN,ACRES PLANTED,180000
49,2015,CALIFORNIA,CORN,ACRES PLANTED,430000
50,2014,CALIFORNIA,CORN,ACRES PLANTED,520000
51,2013,CALIFORNIA,CORN,ACRES PLANTED,600000
52,2012,CALIFORNIA,CORN,ACRES PLANTED,640000
53,2011,CALIFORNIA,CORN,ACRES PLANTED,630000
54,2010,CALIFORNIA,CORN,ACRES PLANTED,610000
55,2009,CALIFORNIA,CORN,ACRES PLANTED,550000
56,2008,CALIFORNIA,CORN,ACRES PLANTED,670000
57,2007,CALIFORNIA,CORN,ACRES PLANTED,650000
58,2006,CALIFORNIA,CORN,ACRES PLANTED,520000
59,2005,CALIFORNIA,CORN,ACRES PLANTED,560000
60,2004,CALIFORNIA,CORN,ACRES PLANTED,540000
